CNPJ;Razao Social;Codigo do Cliente;Numero do Contrato;DR do Contrato;Codigo do Centro de Custos;Centro de Custos;Numero da Fatura;DR da Fatura;Status da Fatura;Inicio do Ciclo de Faturamento;Fim do Ciclo de Faturamento;Data de Emissao;Data de Vencimento;Data de Pagamento;Data de Cancelamento;Data de Fechamento;;;;;;;;;
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;14/04/2023;116600055;CAIXA ENCOMENDA 1;1;0;R$ 8,05;R$ 8,05;532667428;0;R$ 0,00;R$ 0,00;0;00061510 AC AVENIDA DAS AMERICAS;22790972;RIO DE JANEIRO;RJ;0;;;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;20/03/2023;116600055;CAIXA ENCOMENDA 1;1;0;R$ 8,05;R$ 8,05;529329955;0;R$ 0,00;R$ 0,00;0;00022917 AC CIDADE UNIVERSITARIA;88040970;FLORIANOPOLIS;SC;0;;;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;20/03/2023;3247;SEDEX REVERSO;1;150;R$ 27,10;R$ 27,10;404868375;OV404868375BR;R$ 94,00;R$ 0,00;0;00022917 AC CIDADE UNIVERSITARIA;88040970;FLORIANOPOLIS;SC;4552000;SAO PAULO;SP;900;1800;2700;0;15000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;25/03/2023;3247;SEDEX REVERSO;1;57;R$ 26,39;R$ 26,39;311564519;OV311564519BR;R$ 0,00;R$ 0,00;0;00018279 AC BARRA SHOPPING;22640970;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;0;0;0;0;5700
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;25/03/2023;765000652;ENVELOPE BOLHA 1;1;0;R$ 6,60;R$ 6,60;530218285;0;R$ 0,00;R$ 0,00;0;00018279 AC BARRA SHOPPING;22640970;RIO DE JANEIRO;RJ;0;;;0;0;0;0;0
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;3220;SEDEX CONTRATO AG;1;419;R$ 10,42;R$ 10,42;311564788;OV311564788BR;R$ 0,00;R$ 0,00;0;00018279 AC BARRA SHOPPING;22640970;RIO DE JANEIRO;RJ;23810000;ITAGUAI;RJ;900;1800;2700;0;41900
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;116601094;CAIXA ENCOMENDA RPC 2B;1;0;R$ 8,15;R$ 8,15;530563807;0;R$ 0,00;R$ 0,00;0;00018279 AC BARRA SHOPPING;22640970;RIO DE JANEIRO;RJ;0;;;0;0;0;0;0
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;3140;SEDEX 12 CONTRATO AG;1;2080;R$ 69,62;R$ 69,62;46136733;SM046136733BR;R$ 0,00;R$ 0,00;0;00018287 AC GENERAL OSORIO;22420970;RIO DE JANEIRO;RJ;70773000;BRASILIA;DF;1400;2300;2700;0;208000
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;378;R$ 18,01;R$ 18,01;434144044;OV434144044BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;28906000;CABO FRIO;RJ;1500;1800;2200;0;37800
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;04/04/2023;3220;SEDEX CONTRATO AG;1;567;R$ 20,08;R$ 20,08;35296969;OV035296969BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;28907000;CABO FRIO;RJ;1700;1700;2000;0;56700
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;06/04/2023;3220;SEDEX CONTRATO AG;1;157;R$ 9,29;R$ 9,29;35293168;OV035293168BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;24930000;MARICA;RJ;1600;1800;2400;0;15700
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;11/04/2023;3220;SEDEX CONTRATO AG;1;340;R$ 18,41;R$ 18,41;35300411;OV035300411BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;28800000;RIO BONITO;RJ;1600;2200;2200;0;34000
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;13/04/2023;3220;SEDEX CONTRATO AG;1;350;R$ 10,42;R$ 10,42;35300601;OV035300601BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;24804000;ITABORAI;RJ;1600;2200;2200;0;35000
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;16/03/2023;3220;SEDEX CONTRATO AG;1;176;R$ 17,38;R$ 17,38;434140113;OV434140113BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;28906000;CABO FRIO;RJ;1400;2300;2700;0;17600
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;16/03/2023;3220;SEDEX CONTRATO AG;1;364;R$ 18,01;R$ 18,01;434140127;OV434140127BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;27920000;;;1400;2300;2700;0;36400
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;23/03/2023;3220;SEDEX CONTRATO AG;1;242;R$ 9,29;R$ 9,29;434141079;OV434141079BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;24903000;;;1600;1700;2200;0;24200
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;23/03/2023;3220;SEDEX CONTRATO AG;1;170;R$ 17,38;R$ 17,38;434141082;OV434141082BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;28895000;RIO DAS OSTRAS;RJ;1600;1700;2200;0;17000
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;24/03/2023;3220;SEDEX CONTRATO AG;1;296;R$ 9,29;R$ 9,29;434143503;OV434143503BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;25955000;TERESOPOLIS;RJ;1800;2000;2300;0;29600
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;24/03/2023;3220;SEDEX CONTRATO AG;1;173;R$ 9,29;R$ 9,29;434143517;OV434143517BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;24903000;;;1800;2000;2300;0;17300
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;3220;SEDEX CONTRATO AG;1;335;R$ 10,42;R$ 10,42;434143809;OV434143809BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;25965000;;;1800;2000;2200;0;33500
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;296;R$ 17,76;R$ 17,76;434143928;OV434143928BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;28941000;SAO PEDRO DA ALDEIA;RJ;1500;1800;2200;0;29600
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;193;R$ 9,29;R$ 9,29;434144027;OV434144027BR;R$ 0,00;R$ 0,00;0;00018335 AC ICARAI;24230970;NITEROI;RJ;24913000;MARICA;RJ;1500;1800;2200;0;19300
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;03/04/2023;3220;SEDEX CONTRATO AG;1;706;R$ 20,08;R$ 20,08;321192511;OV321192511BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;27936000;MACAE;RJ;1400;2300;2700;0;70600
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;03/04/2023;3220;SEDEX CONTRATO AG;1;1230;R$ 14,00;R$ 14,00;321192525;OV321192525BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;25215000;;;1400;2300;2700;0;123000
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;11/04/2023;3140;SEDEX 12 CONTRATO AG;1;122;R$ 30,17;R$ 30,17;336911364;SM336911364BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;25804000;TRES RIOS;RJ;900;1400;1800;0;12200
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;3220;SEDEX CONTRATO AG;1;1086;R$ 48,30;R$ 48,30;893404007;QB893404007BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;88015000;FLORIANOPOLIS;SC;1900;2600;3400;0;108600
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;1350;R$ 96,11;R$ 96,11;321193110;OV321193110BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;68515000;PARAUAPEBAS;PA;1800;2700;3600;0;135000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;1350;R$ 72,43;R$ 72,43;321193123;OV321193123BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;66055000;BELEM;PA;1800;2700;3600;0;135000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;1350;R$ 72,43;R$ 72,43;321193154;OV321193154BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;69053000;MANAUS;AM;1800;2700;3600;0;135000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;1350;R$ 96,11;R$ 96,11;321193168;OV321193168BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;68040000;SANTAREM;PA;1800;2700;3600;0;135000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;1350;R$ 62,09;R$ 62,09;321193171;OV321193171BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;49020000;;;1800;2700;3600;0;135000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;1350;R$ 72,43;R$ 72,43;321193185;OV321193185BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;69306000;;;1800;2700;3600;0;135000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3220;SEDEX CONTRATO AG;1;1350;R$ 96,11;R$ 96,11;321193225;OV321193225BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;68508000;MARABA;PA;1800;2700;3600;0;135000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;04/04/2023;3140;SEDEX 12 CONTRATO AG;1;530;R$ 49,43;R$ 49,43;336911090;SM336911090BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;0;0;0;0;53000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;06/04/2023;3220;SEDEX CONTRATO AG;1;590;R$ 28,61;R$ 28,61;321193715;OV321193715BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;1400;2300;2700;0;59000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;10/04/2023;3220;SEDEX CONTRATO AG;1;2131;R$ 54,36;R$ 54,36;689091050;QB689091050BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;91349000;;;2400;2400;3400;0;213100
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;10/04/2023;3220;SEDEX CONTRATO AG;1;1156;R$ 34,48;R$ 34,48;689091063;QB689091063BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;29055000;;;1600;2000;3000;0;115600
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;10/04/2023;3220;SEDEX CONTRATO AG;1;1369;R$ 34,48;R$ 34,48;689091077;QB689091077BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;5051000;SAO PAULO;SP;2400;2400;3400;0;136900
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;10/04/2023;3220;SEDEX CONTRATO AG;1;1265;R$ 62,09;R$ 62,09;689091085;QB689091085BR;R$ 0,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;41825000;SALVADOR;BA;2400;2400;3400;0;126500
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;14/04/2023;3220;SEDEX CONTRATO AG;1;340;R$ 37,26;R$ 37,26;321194101;OV321194101BR;R$ 999,00;R$ 0,00;0;00018439 AC AVENIDA NACOES UNIDAS;22250970;RIO DE JANEIRO;RJ;30130000;BELO HORIZONTE;MG;900;1400;1800;0;34000
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;06/04/2023;3247;SEDEX REVERSO;1;8398;R$ 187,00;R$ 187,00;423642613;OV423642613BR;R$ 1.840,30;R$ 0,00;0;00013137 AC NAZARE;66040970;BELEM;PA;29157000;;;3400;3800;3900;0;734000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;22/03/2023;3247;SEDEX REVERSO;1;223;R$ 42,23;R$ 42,23;935813265;QB935813265BR;R$ 64,00;R$ 0,00;0;00424519 AGF GOV ROBERTO SILVEIRA;28300975;ITAPERUNA;RJ;4552000;SAO PAULO;SP;0;0;0;0;22300
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;20/03/2023;3247;SEDEX REVERSO;1;1201;R$ 50,91;R$ 50,91;448992249;OV448992249BR;R$ 1.666,11;R$ 0,00;0;00424597 AGF CIDADE IMPERIAL;25620972;PETROPOLIS;RJ;29157000;;;0;0;0;0;120100
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;05/04/2023;3247;SEDEX REVERSO;1;154;R$ 26,39;R$ 26,39;409148265;OV409148265BR;R$ 0,00;R$ 0,00;0;00424622 AGF PELINCA CAMPOS;28030970;CAMPOS DOS GOYTACAZES;RJ;4552000;SAO PAULO;SP;900;1400;1800;0;15400
67736726;TECNOPHARMA FARM DE MANIPULACAO LTDA;22/03/2023;3298;PAC CONTRATO AG;1;1097;R$ 32,46;R$ 32,46;257015189;PG257015189BR;R$ 575,65;R$ 0,00;0;00237043 AGF PERRONE;20040970;RIO DE JANEIRO;RJ;36512000;TOCANTINS;MG;1600;2000;1600;0;109700
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;10/04/2023;3247;SEDEX REVERSO;1;188;R$ 55,42;R$ 55,42;459270573;OV459270573BR;R$ 0,00;R$ 0,00;0;00012156 AC JARDIM DAS AMERICAS;78060970;CUIABA;MT;29157000;;;900;1400;1800;0;18800
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;10/04/2023;3247;SEDEX REVERSO;1;174;R$ 55,42;R$ 55,42;459270587;OV459270587BR;R$ 0,00;R$ 0,00;0;00012156 AC JARDIM DAS AMERICAS;78060970;CUIABA;MT;4552000;SAO PAULO;SP;0;0;0;0;17400
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;03/04/2023;3220;SEDEX CONTRATO AG;1;46;R$ 26,39;R$ 26,39;384669135;OV384669135BR;R$ 0,00;R$ 0,00;0;00018259 AC BONSUCESSO;21032970;RIO DE JANEIRO;RJ;29157000;;;1100;1200;1500;0;4600
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;20/03/2023;3220;SEDEX CONTRATO AG;1;2370;R$ 54,36;R$ 54,36;384666227;OV384666227BR;R$ 0,00;R$ 0,00;0;00018259 AC BONSUCESSO;21032970;RIO DE JANEIRO;RJ;79020000;CAMPO GRANDE;MS;2500;2500;3500;0;237000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;17/03/2023;116601094;CAIXA ENCOMENDA RPC 2B;1;0;R$ 8,15;R$ 8,15;529108393;0;R$ 0,00;R$ 0,00;0;00018265 AC CASCADURA;21350970;RIO DE JANEIRO;RJ;0;;;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;17/03/2023;3247;SEDEX REVERSO;1;210;R$ 28,16;R$ 28,16;417697136;OV417697136BR;R$ 200,00;R$ 0,00;0;00018265 AC CASCADURA;21350970;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;900;1800;2700;0;21000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;11/04/2023;3247;SEDEX REVERSO;1;50;R$ 73,95;R$ 73,95;37552086;OV037552086BR;R$ 0,00;R$ 0,00;0;00023820 AC ITABAIANA;49500970;ITABAIANA;SE;4552000;SAO PAULO;SP;0;0;0;0;5000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;11/04/2023;765000652;ENVELOPE BOLHA 1;1;0;R$ 6,60;R$ 6,60;532101558;0;R$ 0,00;R$ 0,00;0;00023820 AC ITABAIANA;49500970;ITABAIANA;SE;0;;;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;05/04/2023;3247;SEDEX REVERSO;1;140;R$ 55,42;R$ 55,42;511897826;DJ511897826BR;R$ 0,00;R$ 0,00;0;00023878 AC RUA ACRE;49075975;ARACAJU;SE;4552000;SAO PAULO;SP;300;3000;4000;0;14000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;05/04/2023;765000911;ENVELOPE BOLHA TAMANHO GRANDE;1;0;R$ 7,60;R$ 7,60;531579024;0;R$ 0,00;R$ 0,00;0;00023878 AC RUA ACRE;49075975;ARACAJU;SE;0;;;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;14/04/2023;765000911;ENVELOPE BOLHA TAMANHO GRANDE;1;0;R$ 7,60;R$ 7,60;532747915;0;R$ 0,00;R$ 0,00;0;00027132 AC NOVA VENEZA;13177970;SUMARE;SP;0;;;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;14/04/2023;3247;SEDEX REVERSO;1;159;R$ 32,19;R$ 32,19;432001887;OV432001887BR;R$ 603,56;R$ 0,00;0;00027132 AC NOVA VENEZA;13177970;SUMARE;SP;29157000;;;1200;2500;3500;0;15900
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;05/04/2023;44105;MALOTE;1;2320;R$ 43,08;R$ 43,08;10;;R$ 0,00;R$ 0,00;0;00057279 CEE MOEMA;4081971;SAO PAULO;SP;4552000;SAO PAULO;SP;0;0;0;0;0
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;12/04/2023;44105;MALOTE;1;1240;R$ 33,05;R$ 33,05;12;;R$ 0,00;R$ 0,00;0;00057279 CEE MOEMA;4081971;SAO PAULO;SP;4552000;SAO PAULO;SP;0;0;0;0;0
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;16/03/2023;44105;MALOTE;1;7820;R$ 88,39;R$ 88,39;24;;R$ 0,00;R$ 0,00;0;00057279 CEE MOEMA;4081971;SAO PAULO;SP;4552000;SAO PAULO;SP;0;0;0;0;0
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;22/03/2023;44105;MALOTE;1;4640;R$ 59,86;R$ 59,86;12;;R$ 0,00;R$ 0,00;0;00057279 CEE MOEMA;4081971;SAO PAULO;SP;4552000;SAO PAULO;SP;0;0;0;0;0
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;04/04/2023;44105;MALOTE;1;1880;R$ 33,05;R$ 33,05;12;;R$ 0,00;R$ 0,00;0;00058561 CEE LARANJEIRAS;22290973;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;0;0;0;0;0
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;11/04/2023;44105;MALOTE;1;6520;R$ 83,21;R$ 83,21;10;;R$ 0,00;R$ 0,00;0;00058561 CEE LARANJEIRAS;22290973;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;0;0;0;0;0
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;21/03/2023;44105;MALOTE;1;3620;R$ 50,35;R$ 50,35;24;;R$ 0,00;R$ 0,00;0;00058561 CEE LARANJEIRAS;22290973;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;0;0;0;0;0
329952;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;44105;MALOTE;1;1940;R$ 31,33;R$ 31,33;10;;R$ 0,00;R$ 0,00;0;00058561 CEE LARANJEIRAS;22290973;RIO DE JANEIRO;RJ;4552000;SAO PAULO;SP;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;17/03/2023;3220;SEDEX CONTRATO AG;1;120;R$ 9,29;R$ 9,29;785751713;OS785751713BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;25935000;;;200;1100;1600;0;12000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;17/03/2023;3220;SEDEX CONTRATO AG;1;2540;R$ 54,36;R$ 54,36;785751727;OS785751727BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;90450000;PORTO ALEGRE;RS;2200;3400;3500;0;254000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;20/03/2023;3220;SEDEX CONTRATO AG;1;160;R$ 44,87;R$ 44,87;785751948;OS785751948BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;88811000;CRICIUMA;SC;200;1100;1600;0;16000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;20/03/2023;3220;SEDEX CONTRATO AG;1;120;R$ 17,38;R$ 17,38;785751979;OS785751979BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;27937000;;;200;1100;1600;0;12000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;05/04/2023;3220;SEDEX CONTRATO AG;1;40;R$ 26,39;R$ 26,39;785753949;OS785753949BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;5302000;SAO PAULO;SP;200;1100;1600;0;4000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;05/04/2023;3220;SEDEX CONTRATO AG;1;80;R$ 26,39;R$ 26,39;785753952;OS785753952BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;6833000;;;200;1100;1600;0;8000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;05/04/2023;3220;SEDEX CONTRATO AG;1;60;R$ 36,95;R$ 36,95;785753966;OS785753966BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;93020000;;;200;1100;1600;0;6000
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;23/03/2023;3220;SEDEX CONTRATO AG;1;140;R$ 26,39;R$ 26,39;785752197;OS785752197BR;R$ 0,00;R$ 0,00;0;00235037 AGF PEDRO II;20941970;RIO DE JANEIRO;RJ;80240000;CURITIBA;PR;200;1100;1600;0;14000
